module	path	loc	package	direct_imports	direct_importers	test_importers	script_importers	runtime_reachable	test_only_reachable	has_main_block	referenced_by_string_dynamic	verdict	evidence	last_commit	last_commit_date	last_author
core	core/__init__.py	1	core		core.recon.behavioral	tests/integration/test_cronus/__init__.py;tests/integration/test_mimic/__init__.py;tests/integration/test_nexus/__init__.py		yes	no	no	yes	LIVE	runtime_reachable; string_ref=core/aegis/economic_recon.py,core/aegis/graph.py,core/aegis/manager.py,core/aegis/nexus/primitives.py; duplicate_basename	08a3276	2025-12-17	Jason Phillips
core.__main__	core/__main__.py	3	core					yes	no	yes	no	LIVE	runtime_reachable; __main__; cli_shape	8610a33	2025-12-19	Jbase16
core.aegis	core/aegis/__init__.py	6	core.aegis					yes	no	no	no	LIVE	runtime_reachable; duplicate_basename	9ab56a8	2026-01-02	Jbase16
core.aegis.bridge	core/aegis/bridge.py	59	core.aegis	core.aegis.models;core.data.pressure_graph.models	core.aegis.manager			no	no	no	no	ORPHAN_STRONG	no_runtime_no_tests_no_dynamic_evidence	92cd229	2026-01-03	Jbase16
core.aegis.economic_recon	core/aegis/economic_recon.py	55	core.aegis			tests/test_thanatos_wrappers.py		no	yes	no	no	TEST_ONLY	test_reachable	9ab56a8	2026-01-02	Jbase16
core.aegis.graph	core/aegis/graph.py	99	core.aegis	core.aegis.models	core.aegis.manager;core.aegis.passive_ingest;core.aegis.value_mapper	tests/test_aegis_phase1.py		no	yes	no	no	TEST_ONLY	test_reachable	b3929eb	2026-01-04	Jbase16
core.aegis.manager	core/aegis/manager.py	65	core.aegis	core.aegis.bridge;core.aegis.graph;core.aegis.models;core.data.pressure_graph.manager;core.data.pressure_graph.models				no	no	no	no	DUPLICATE_CLUSTER	duplicate_basename	38857b2	2026-01-03	Jbase16
core.aegis.models	core/aegis/models.py	29	core.aegis		core.aegis.bridge;core.aegis.graph;core.aegis.manager;core.aegis.passive_ingest			no	yes	no	no	DUPLICATE_CLUSTER	test_reachable; duplicate_basename	38857b2	2026-01-03	Jbase16
core.aegis.nexus	core/aegis/nexus/__init__.py	24	core.aegis.nexus	core.aegis.nexus.recoil				yes	no	no	no	LIVE	runtime_reachable; duplicate_basename	5075a87	2026-01-14	Jbase16
core.aegis.nexus.chain	core/aegis/nexus/chain.py	621	core.aegis.nexus	core.aegis.nexus.primitives;core.net.http_factory;core.omega.nexus_phase				no	no	yes	no	ORPHAN_REVIEW	__main__; cli_shape	7d63772	2026-03-24	Jbase16
core.aegis.nexus.primitives	core/aegis/nexus/primitives.py	748	core.aegis.nexus	core.data.db;core.server.state	core.aegis.nexus.chain;core.cortex.chain_arbiter;core.omega;core.omega.nexus_phase;core.server.routers.scans	tests/unit/core/nexus/test_primitives_collection.py		yes	no	yes	no	LIVE	runtime_reachable; __main__; cli_shape	ab4a55e	2026-06-27	Jbase16
core.aegis.nexus.recoil	core/aegis/nexus/recoil.py	78	core.aegis.nexus	core.cortex.events	core.aegis.nexus;core.cortex.reasoning			yes	no	no	no	LIVE	runtime_reachable	1d62cc7	2026-01-14	Jbase16
core.aegis.passive_ingest	core/aegis/passive_ingest.py	87	core.aegis	core.aegis.graph;core.aegis.models		tests/test_aegis_phase1.py		no	yes	no	no	TEST_ONLY	test_reachable	b3929eb	2026-01-04	Jbase16
core.aegis.value_mapper	core/aegis/value_mapper.py	36	core.aegis	core.aegis.graph		tests/test_aegis_phase1.py		no	yes	no	no	TEST_ONLY	test_reachable	b3929eb	2026-01-04	Jbase16
core.ai.ai_engine	core/ai/ai_engine.py	1098	core.ai	core.ai.exec_protocol;core.ai.scan_briefing;core.base.action_dispatcher;core.base.config;core.cortex.attack_path_contract;core.cortex.causal_graph;core.data.db;core.data.evidence_store;core.data.findings_store;core.data.issues_store;core.data.killchain_store;core.epistemic.ledger;core.server.state	core.ai.debate;core.ai.reporting;core.ai.strategy;core.base.task_router;core.chat.chat_engine;core.cortex.insight_engine;core.cortex.replay_capsule;core.forge.compiler;core.ghost.lazarus;core.intel.llm_extraction;core.server.api;core.server.routers.ai	tests/unit/core/test_trinity_hardening.py;tests/unit/test_ai_manifesto_contract.py;tests/unit/test_chat_memory.py;tests/unit/test_command_validation.py;tests/verification/verify_forge.py;tests/verification/verify_neural_loop.py		yes	no	no	yes	LIVE	runtime_reachable; string_ref=tests/integration/test_ghost_wraith_e2e.py,tests/integration/test_system_loop.py	d12f456	2026-05-21	Jbase16
core.ai.debate	core/ai/debate.py	303	core.ai	core.ai.ai_engine;core.forge.validator	core.forge.compiler	tests/unit/core/test_trinity_hardening.py		yes	no	no	yes	LIVE	runtime_reachable; string_ref=tests/unit/core/test_trinity_hardening.py	02541ca	2026-01-05	Jbase16
core.ai.exec_protocol	core/ai/exec_protocol.py	158	core.ai		core.ai.ai_engine	tests/security/test_exec_injection.py		yes	no	no	yes	LIVE	runtime_reachable; string_ref=core/ai/ai_engine.py,tests/security/test_exec_injection.py	5f46ae0	2026-05-21	Jbase16
core.ai.fallbacks	core/ai/fallbacks.py	267	core.ai	core.scheduler.decisions		tests/unit/core/test_trinity_hardening.py		no	yes	no	no	TEST_ONLY	test_reachable	c73647a	2026-01-02	Jbase16
core.ai.reporting	core/ai/reporting.py	508	core.ai	core.ai.ai_engine;core.cortex.attack_path_contract;core.cortex.causal_graph;core.cortex.reasoning;core.data.findings_store;core.data.issues_store;core.data.killchain_store;core.data.risk;core.scheduler.decisions	core.engine.headless_runner;core.server.routers.ai			yes	no	no	no	LIVE	runtime_reachable	7d63772	2026-03-24	Jbase16
core.ai.scan_briefing	core/ai/scan_briefing.py	293	core.ai		core.ai.ai_engine	tests/unit/test_scan_briefing.py		yes	no	no	no	LIVE	runtime_reachable	d12f456	2026-05-21	Jbase16
core.ai.strategy	core/ai/strategy.py	301	core.ai	core.ai.ai_engine;core.base.session;core.cal.engine;core.cal.types	core.ghost.proxy	tests/integration/test_cal_system_integration.py;tests/verification/verify_cal_integration.py;tests/verification/verify_killchain.py;tests/verification/verify_neural_loop.py		yes	no	no	no	LIVE	runtime_reachable	02541ca	2026-01-05	Jbase16
core.analyze	core/analyze/__init__.py	1	core.analyze					no	no	no	no	ORPHAN_STRONG	duplicate_basename	08a3276	2025-12-17	Jason Phillips
