path	kind	loc	symbols	included_by_project_yml	included_by_xcode_build	app_reachable_or_build_included	referenced_by_swift	verdict	evidence	last_commit	last_commit_date	last_author
ui/Audit/AuditFeedView.swift	swift	93	AuditFeedView;EventRow	no	no	no		UI_ORPHAN_REVIEW	duplicate_basename	422226e	2026-01-06	Jbase16
ui/BackendState.swift	swift	77	BackendState	no	no	no		UI_DUPLICATE_CLUSTER	identical_duplicate_content; duplicate_basename	2bcd112	2026-01-11	Jbase16
ui/ErrorClassifier.swift	swift	133	ErrorClassifier	no	no	no		UI_DUPLICATE_CLUSTER	identical_duplicate_content; duplicate_basename	0541035	2026-01-11	Jbase16
ui/Info-Release.plist	plist	46		no	no	no		UI_CONFIG_RESOURCE_REVIEW	no_project_or_reference_evidence	dfb7ddd	2026-02-05	Jbase16
ui/Info.plist	plist	29		yes	yes	no		UI_CONFIG_LIVE	included_by_project_yml; included_by_xcode_build	6170961	2025-12-29	Jbase16
ui/RetryBackoff.swift	swift	50	RetryBackoff	no	no	no		UI_DUPLICATE_CLUSTER	identical_duplicate_content; duplicate_basename	2bcd112	2026-01-11	Jbase16
ui/SentinelForge.Release.entitlements	entitlements	6		no	no	no		UI_CONFIG_RESOURCE_REVIEW	no_project_or_reference_evidence	dfb7ddd	2026-02-05	Jbase16
ui/SentinelForge.entitlements	entitlements	20		yes	yes	no		UI_CONFIG_LIVE	included_by_project_yml; included_by_xcode_build	efbd244	2026-01-13	Jbase16
ui/SentinelForge.xcodeproj/project.pbxproj	pbxproj	681		yes	yes	no		UI_CONFIG_LIVE	included_by_project_yml; included_by_xcode_build	bc65422	2026-06-18	Jbase16
ui/SentinelForge.xcodeproj/project.xcworkspace/contents.xcworkspacedata	xcworkspacedata	7		yes	yes	no		UI_CONFIG_LIVE	included_by_project_yml; included_by_xcode_build	e8b5296	2025-12-23	Jbase16
ui/Sources/Core/AppReducer.swift	swift	288	AppStateSnapshot;AppAction;AppStore	yes	yes	yes	ui/Sources/Models/HelixAppState.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Models/HelixAppState.swift	b147159	2025-12-19	Jbase16
ui/Sources/Core/BackendState.swift	swift	77	BackendState	yes	yes	yes	ui/BackendState.swift;ui/Sources/Services/BackendManager.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/BackendState.swift,ui/Sources/Services/BackendManager.swift; identical_duplicate_content; duplicate_basename	f757f0a	2026-01-11	Jbase16
ui/Sources/Core/ErrorClassifier.swift	swift	133	ErrorClassifier	yes	yes	yes	ui/ErrorClassifier.swift;ui/Sources/Services/EventStreamClient.swift;ui/Sources/Services/SentinelAPIClient.swift;ui/Tests/Sources/TestRunner/CriticalPathTests.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/ErrorClassifier.swift,ui/Sources/Services/EventStreamClient.swift,ui/Sources/Services/SentinelAPIClient.swift,ui/Tests/Sources/TestRunner/CriticalPathTests.swift; identical_duplicate_content; duplicate_basename	f757f0a	2026-01-11	Jbase16
ui/Sources/Core/HelixError.swift	swift	46	HelixError	yes	yes	yes		UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included	84b664f	2025-12-17	Jason Phillips
