path	category	extension	loc	tracked	generated_or_build	last_commit	last_commit_date	last_author
.bandit	other-tracked	.bandit	0	yes	no	9c9018c	2025-12-22	Jbase16
.github/RUN_WORKFLOWS.md	other-tracked	.md	226	yes	no	9c9018c	2025-12-22	Jbase16
.github/SECURITY_CI_OVERVIEW.md	other-tracked	.md	272	yes	no	9c9018c	2025-12-22	Jbase16
.github/copilot-instructions.md	other-tracked	.md	165	yes	no	e48a0e6	2025-12-24	copilot-swe-agent[bot]
.gitignore	other-tracked	.gitignore	0	yes	no	5ec2a58	2026-07-01	Jbase16
.pre-commit-config.yaml	other-tracked	.yaml	8	yes	no	e58d306	2026-02-24	Jbase16
.semgrepignore	other-tracked	.semgrepignore	0	yes	no	9c9018c	2025-12-22	Jbase16
Makefile	root-config-doc	Makefile	0	yes	no	e58d306	2026-02-24	Jbase16
Modelfile	other-tracked	Modelfile	0	yes	no	5f46ae0	2026-05-21	Jbase16
README.md	root-config-doc	.md	79	yes	no	5f46ae0	2026-05-21	Jbase16
assets/laws/constitution.cal	other-tracked	.cal	0	yes	no	72da90b	2026-02-05	Jbase16
assets/wordlists/emergency.txt	other-tracked	.txt	0	yes	no	730e858	2026-01-05	Jbase16
core/__init__.py	core-python	.py	15	yes	no	08a3276	2025-12-17	Jason Phillips
core/__main__.py	core-python	.py	3	yes	no	8610a33	2025-12-19	Jbase16
core/aegis/__init__.py	core-python	.py	6	yes	no	9ab56a8	2026-01-02	Jbase16
core/aegis/bridge.py	core-python	.py	62	yes	no	92cd229	2026-01-03	Jbase16
core/aegis/economic_recon.py	core-python	.py	55	yes	no	9ab56a8	2026-01-02	Jbase16
core/aegis/graph.py	core-python	.py	124	yes	no	b3929eb	2026-01-04	Jbase16
core/aegis/manager.py	core-python	.py	88	yes	no	38857b2	2026-01-03	Jbase16
core/aegis/models.py	core-python	.py	36	yes	no	38857b2	2026-01-03	Jbase16
core/aegis/nexus/__init__.py	core-python	.py	24	yes	no	5075a87	2026-01-14	Jbase16
core/aegis/nexus/chain.py	core-python	.py	670	yes	no	7d63772	2026-03-24	Jbase16
core/aegis/nexus/primitives.py	core-python	.py	774	yes	no	ab4a55e	2026-06-27	Jbase16
core/aegis/nexus/recoil.py	core-python	.py	89	yes	no	1d62cc7	2026-01-14	Jbase16
core/aegis/passive_ingest.py	core-python	.py	94	yes	no	b3929eb	2026-01-04	Jbase16
core/aegis/value_mapper.py	core-python	.py	41	yes	no	b3929eb	2026-01-04	Jbase16
core/ai/ai_engine.py	core-python	.py	1270	yes	no	d12f456	2026-05-21	Jbase16
core/ai/debate.py	core-python	.py	323	yes	no	02541ca	2026-01-05	Jbase16
core/ai/exec_protocol.py	core-python	.py	187	yes	no	5f46ae0	2026-05-21	Jbase16
core/ai/fallbacks.py	core-python	.py	301	yes	no	c73647a	2026-01-02	Jbase16
core/ai/reporting.py	core-python	.py	545	yes	no	7d63772	2026-03-24	Jbase16
core/ai/scan_briefing.py	core-python	.py	308	yes	no	d12f456	2026-05-21	Jbase16
core/ai/strategy.py	core-python	.py	379	yes	no	02541ca	2026-01-05	Jbase16
core/analyze/__init__.py	core-python	.py	18	yes	no	08a3276	2025-12-17	Jason Phillips
core/auditing/builder.py	core-python	.py	87	yes	no	80dad60	2026-02-01	Jbase16
core/base/__init__.py	core-python	.py	16	yes	no	08a3276	2025-12-17	Jason Phillips
core/base/action_dispatcher.py	core-python	.py	182	yes	no	5f46ae0	2026-05-21	Jbase16
core/base/config.py	core-python	.py	1131	yes	no	5f46ae0	2026-05-21	Jbase16
core/base/context.py	core-python	.py	16	yes	no	ff8d3b0	2026-02-23	Jbase16
core/base/exceptions.py	core-python	.py	13	yes	no	ff8d3b0	2026-02-23	Jbase16
core/base/execution_policy.py	core-python	.py	17	yes	no	ff8d3b0	2026-02-23	Jbase16
core/base/scope.py	core-python	.py	219	yes	no	ff8d3b0	2026-02-23	Jbase16
core/base/sequence.py	core-python	.py	293	yes	no	c36fa52	2026-01-05	Jbase16
core/base/session.py	core-python	.py	336	yes	no	6c38c18	2026-05-27	Jbase16
core/base/task_router.py	core-python	.py	308	yes	no	72da90b	2026-02-05	Jbase16
core/base/teardown.py	core-python	.py	125	yes	no	6c38c18	2026-05-27	Jbase16
